Rank,Artist,Album/Single,Year,Format,Genre
1,Joey Beltram,Machines / Fuck All You Mother Fuckers,1991,Single,Techno
2,Mike Ink,Jingle Bells / Trump Tower,1999,Single,Techno
3,Kreem,Triangle of Love,1986,Single,Techno
4,Basic Channel,Phylyps Trak,1993,EP,Techno
5,Carl Craig,Angel Remixes,2009,Single,Techno
6,F.U.S.E.,Substance Abuse / F.U.2 / Confusion,1991,Single,Techno
7,Model 600,Update,2002,Single,Techno
8,Intercity,Groovin' Without Doubt,1987,EP,Techno
9,Ron Trent,Altered States,1992,EP,Techno
10,Rhythim Is Rhythim,Nude Photo / The Dance,1987,Single,Techno
11,Maurizio,M4.5,1995,EP,Techno
12,Model 500,Night Drive (Thru-Babylon) / Time Space Transmat / No UFO's,1985,Single,Techno
13,Plastikman,Spastik,1993,Single,Techno
14,Fix,Flash / Dope Computer,1992,Single,Techno
15,Rhythim Is Rhythim,Strings of Life / Move It / Kaos,1987,Single,Techno
16,A Number of Names,Sharevari,1981,Single,Techno
17,Jeff Mills,Kat Moda EP,1997,EP,Techno
18,DJ Hell,Sprung aus den Wolken / Butter SÃ¤ure,1993,Single,Techno
19,Model 500,Interference / Electronic,1988,Single,Techno
20,Maurizio,M5,1995,EP,Techno
21,Joey Beltram,Energy Flash / Psycho Bass,1990,Single,Techno
22,Model 500,Sound of Stereo / Off to Battle,1987,Single,Techno
23,Reese & Santonio,Truth of Self Evidence,1988,EP,Techno
24,Cybotron,Clear / Industrial Lies,1983,Single,Techno
25,X-101,X-101,1991,EP,Techno
26,Inner City,Big Fun,1988,Single,Techno
27,Second Phase,Mentasm / Mind to Mind,1991,Single,Techno
28,Model 500,No UFO's / Future,1985,Single,Techno
29,Maurizio,Domina,1993,Single,Techno
30,Basic Channel,Phylyps Trak II,1994,EP,Techno
31,Plastikman,Krakpot,1993,Single,Techno
32,Liaz,House Sensation (Magic Juan's Remix),1988,Single,Techno
33,Richie Hawtin,Minus Orange,1999,Single,Techno
34,Kenny Larkin,We Shall Overcome / Rubbernotes,1990,Single,Techno
35,Maurizio,M6,1996,EP,Techno
36,Basic Channel,Q 1.1,1993,EP,Techno
37,Azzido Da Bass,Dooms Night,1999,Single,Techno
38,Jeff Mills,If / Tango,1999,EP,Techno
39,Inner City,Good Life,1988,Single,Techno
40,e-Dancer,Pump the Move / Grab the Beat,1991,Single,Techno
41,Underground Resistance,Sonic EP,1990,EP,Techno
42,The Aztec Mystic a.k.a DJ Rolando,Knights of the Jaguar EP,1999,EP,Techno
43,Basic Channel,Octagon,1994,EP,Techno
44,Mental Mayhem,Where Are They Hiding / Joey's Riot,1990,Single,Techno
45,DJ Rolando a.k.a. The Aztec Mystic,Revenge of the Jaguar: The Mixes,2000,Single,Techno
46,69,4 Jazz Funk Classics,1991,EP,Techno
47,Suburban Knight,Nocturbulous Behavior,1993,Single,Techno
48,K-OS (Chaos) featuring Simianne,Definition of Love,1989,Single,Techno
49,Cyrus,Inversion,1994,EP,Techno
50,Suburban Knight,Dark Journey: Remixes,2004,Single,Techno
51,UR,The Final Frontier,1991,EP,Techno
52,Channel One,It's Channel One,1987,Single,Techno
53,Underground Resistance,Death Star,1992,EP,Techno
54,Magda,Stop,2005,EP,Techno
55,Bizarre Inc,Playing With Knives,1991,Single,Techno
56,R-Tyme,Illusion / R-Theme,1989,Single,Techno
57,The Family Foundation,Express Yourself,1992,Single,Techno
58,Mundo Muzique,Andromeda,1992,EP,Techno
59,Ontoni,Badd Minded,1992,Single,Techno
60,Orson Karte,Metamorphosis,1994,Single,Techno
61,Paperclip People,The Floor,1996,Single,Techno
62,Eon,Inner Mind / Spice (The Remixes),1991,Single,Techno
63,Inner City,Let It Reign,1991,Single,House
64,Mr. Fingers,Washing Machine / Can You Feel It / Beyond the Clouds,1986,Single,House
65,Chip E.,Time to Jack,1986,Single,House
66,Sterling Void,Don't Wanna Go,1991,Single,House
67,Romanthony,Hold On,1999,Single,House
68,Tiefschwarz,Damage,2006,Single,House
69,Binocular,One Expression EP,1996,EP,House
70,Black Magic,Freedom (Make It Funky),1995,Single,House
71,Touch [house],Without You,1987,Single,House
72,Thomas Bangalter,Outrun,2003,Single,House
73,Insight Featuring Ashaye,Fantasy,1992,Single,House
74,The Reese Project,The Colour of Love,1992,Single,House
75,Marshall Jefferson & On the House,Move Your Body - House Music Anthem,1986,Single,House
76,Erick Morillo,Jazz It Up,1996,Single,House
77,Moodymann,Don't You Want My Love / Me and My Peoples Eyes,2000,Single,House
78,Round Four,Find a Way,1998,Single,House
79,Cerrone,Je suis Music,2004,Single,House
80,Paul Johnson,White Winds / Santa Claus (Remix),1998,Single,House
81,The Eternals,Wrath of Zeus,2000,Single,House
82,Delta Lady,Anything You Want,1993,Single,House
83,Muttonheads,Smashing Music,2004,Single,House
84,Revoked,Pieces,1988,Single,House
85,Alan Braxe & Fred Falke,Intro,2000,Single,House
86,Alden Tyrell,Love Explosion,1999,Single,House
87,Maurice,This Is Acid (A New Dance Craze),1988,Single,House
88,Ce Ce Rogers,Someday,1987,Single,House
89,Together,So Much Love to Give,2002,Single,House
90,The Reese Project,I Believe,1992,Single,House
91,Archigram,Carnaval,2002,Single,House
92,Static,Touch Me Baby / The Native Dance,1991,Single,House
93,Mr. Lee,Acid Fantaslee,1988,EP,House
94,Circle Children,Zulu,1994,Single,House
95,Da Mongoloids,Spark da Meth,1996,Single,House
96,Phuture,Acid Tracks / Phuture Jacks / Your Only Friend,1987,Single,House
97,Le Knight Club vs DJ Sneak,Intergalactik Disko,1998,Single,House
98,Divine Soul,Shake That Ass!!,1998,Single,House
99,Fantom,Faithfull,1997,Single,House
100,DJ Pierre,Love Trax,1992,Single,House
101,Robert Owens,Bring Down the Walls,1986,Single,House
102,The Underground Solution,Luv Dancin' / Deep in My Mind / Afterthought,1990,Single,House
103,The Endless Poker's,The Poke,1987,Single,House
104,Archigram,Mad Joe,2001,Single,House
105,On the House,Give Me Back the Love,1987,Single,House
106,Lil' Mo' Yin Yang,Reach,1995,Single,House
107,Black Strobe / Zongamin,Italian Fireflies / Hotel 17,2004,Single,House
108,The Untouchables,"Go Bah! (Los Africanos) / ""Little"" Louie Anthem Part II",1993,Single,House
109,Mr. Oizo,Flat Beat,1999,Single,House
110,Sedat the Turkish Avenger,The Turkish Avenger,2000,Single,House
111,Curtis Mc Claine and On the House,Let's Get Busy,1988,Single,House
112,Criminal Element Orchestra,Put the Needle to the Record,1987,Single,House
113,Basement Jaxx,Where's Your Head At,2001,Single,House
114,MD III,The Pressure Cooker / Use Me Up,1993,Single,House
115,Humanoid,Stakker Humanoid,1988,Single,House
116,On the House With Marshall Jefferson,Ride the Rhythm,1986,Single,House
117,Together,Together,2000,Single,House
118,Daft Punk,Da Funk / Rollin' & Scratchin',1995,Single,House
119,Jungle Wonz,The Jungle,1986,Single,House
120,Fingers Inc.,Mystery of Love,1986,Single,House
121,Adonis,No Way Back,1986,Single,House
122,Round Two,New Day,1995,Single,House
123,Crydajam,If You Give Me the Love I Want / Playground / Loaded,2002,EP,House
124,Thomas Bangalter,Outrage,2003,Single,House
125,Royal House,Party People / Key the Pulse,1987,Single,House
126,Tyree,Video Crash,1988,Single,House
127,House People,Jack Me Frankie,1986,Single,House
128,Sound Waves,Give It Up Girl / That's All I Wanna Tell U,1991,EP,House
129,"Kenny ""Jammin"" Jason With ""Fast"" Eddie Smith",Can U Dance / Can U Jack / Bonus Jack / Can U Drumm / Skratch-A-Pella,1987,Single,House
130,Benjamin Diamond,Little Scare,2000,Single,House
131,Sly,I Need a Freak,1988,Single,House
132,Pleasure Zone,Fuck Charley,1987,EP,House
133,Bob Sinclar,Gym Tonic,1998,Single,House
134,Daft Punk,Revolution 909,1998,Single,House
135,Christian Science,The Bitch,1995,Single,House
136,Thomas Bangalter,Trax on da Rocks,1995,EP,House
137,Archigram,Doggystyle,2003,Single,House
138,Demon vs. Heartbreaker,You Are My High,2000,Single,House
139,Mix Masters,House Express,1988,Single,House
140,Logic,The Warning / The Final Frontier,1990,Single,House
141,Cool House,Rock This Party Right,1987,Single,House
142,Play Paul,Spaced Out / Holy Ghostz,2000,Single,House
143,Drive Dealers,Colors,2009,Single,House
144,Mr. Lee,I Can't Forget,1987,Single,House
145,"Steve ""Silk"" Hurley & The Voices of Life",The Word Is Love,1997,Single,House
146,Adonis,Acid Poke,1988,Single,House
147,Voodoo Doll,Women Beat Their Men,1989,Single,House
148,The House Master Boyz and the Rude Boy of House,House Nation,1986,Single,House
149,,Nymphae Song / Rhumba,2002,Single,House
150,Kavinsky,Teddy Boy,2006,EP,House
151,Ralphi Rosario,You Used to Hold Me,1987,Single,House
152,Sweet D,Thank Ya,1986,Single,House
153,Phase II,Reachin',1988,Single,House
154,"Sampson ""Butch"" Moore",House Beat Box,1986,Single,House
155,Black Strobe,Deceive/Play,2005,Single,House
156,Stardust,Music Sounds Better With You,1998,Single,House
157,Joe Smooth,I'll Be There,1988,Single,House
158,Peter Black,How Far I Go,1988,Single,House
159,The Children,Freedom,1987,Single,House
160,Def Touch,What Is H.O.U.S.E. / Nasty Rhythm,1991,Single,House
161,Gwendolyn,Come to Me,1984,Single,House
162,Thomas Bangalter,Spinal Scratch,1996,Single,House
163,Terry Baldwin,Housemaster,1987,Single,House
164,World Premiere,Try,1992,Single,House
165,Le Knight Club,Troobadoor / Mirage,1998,Single,House
166,Phortune,String Free / Can You Feel the Bass,1988,Single,House
167,Fresh,Dum Dum,2002,EP,House
168,Joint Venture,The Move / Love and Happiness,1991,Single,House
169,DJ John 'Julius' Knight,Find a Friend,2002,Single,House
170,Urban Rhythm,Feel It Baby All Nite / Luv Will Make It Right,1991,Single,House
171,"Farley ""Jackmaster"" Funk & Jessie Saunders",Love Can't Turn Around,1986,Single,House
172,I:Cube,Disco Cubizm,1996,Single,House
173,Le Knight Club,Boogie Shell / Coco Girlz / Mosquito / Coral Twist,1999,EP,House
174,Mike Dunn,So Let It Be Houze!,1988,Single,House
175,Sleezy D.,I've Lost Control,1986,Single,House
176,Groove Patrol,Need Your Love / Dancin' to the Music,1993,Single,House
177,Jamie Principle,Baby Wants to Ride,1988,Single,House
178,Alan Braxe & Fred Falke,Love Lost,2003,Single,House
179,Def Touch,Freak It / Work It,1994,Single,House
180,Adonis,We're Rocking Down the House,1986,Single,House
181,Joe Smooth,Promised Land,1989,Single,House
182,Photon Inc.,Give a Little Love,1992,Single,House
183,Catalan FC,Respect Is Burning,1997,Single,House
184,Aly-Us,Follow Me,1992,Single,House
185,Ralphi Rosario,In the Night,1988,Single,House
186,Mr. Lee,Pump Up Chicago,1988,Single,House
187,Master C & J,In the City,1987,Single,House
188,The Sweat Boyz,Do You Wanna Jack?,1988,Single,House
189,Jesse Saunders,On and On,1984,Single,House
190,The Funk Junkeez,Got Funk?,1997,Single,House
191,The Buffalo Bunch,Buffalo Club,1998,Single,House
192,Disco-D,Dance Tracs,1986,EP,House
193,Ricky Dillard,As Always,1988,Single,House
194,The Reese Project,The Miracle of Life,1993,Single,House
195,Round One,I'm Your Brother,1994,Single,House
196,Mother,All Funked Up,1993,Single,House
197,Fingers Inc.,A Path,1986,Single,House
198,Dean Anderson,Don't Stop,1987,Single,House
199,The Buffalo Bunch,T.I.T.T.S. / Music Box,1999,Single,House
200,"Ed Rush, Optical & Fierce",Cutslo / Alien Girl,1998,Single,Jungle / Drum & Bass
201,Rufige Kru,Ghosts of My Life / Terminator II,1993,EP,Jungle / Drum & Bass
202,Alex Reece,Pulp Fiction / Chill Pill,1995,Single,Jungle / Drum & Bass
203,Optical,To Shape the Future,1997,Single,Jungle / Drum & Bass
204,UK Apachi with Shy FX,Original Nuttah,1994,Single,Jungle / Drum & Bass
205,dBridge,Let That Shit Ride / Tha Kops,1995,Single,Jungle / Drum & Bass
206,Noisia,The Tide / Concussion,2005,Single,Jungle / Drum & Bass
207,Sub Zero,Spin Doc / Fever,2009,Single,Jungle / Drum & Bass
208,DJ Marky & XRS,LK,2002,Single,Jungle / Drum & Bass
209,Sub Focus,Soundguy / Bluenote,2004,Single,Jungle / Drum & Bass
210,The Qemists,Drop Audio / Stompbox,2007,Single,Jungle / Drum & Bass
211,Technical Itch,Penetration 4,2002,Single,Jungle / Drum & Bass
212,Usual Suspects,Syndrome E.P.,2000,EP,Jungle / Drum & Bass
213,Top Cat / Tribe of Issachar,Original Ses (Police in Helicopter) / Yes Selectah,2004,Single,Jungle / Drum & Bass
214,Dom & Roland,Can't Punish Me,2000,Single,Jungle / Drum & Bass
215,Remarc,Menace / Thunderclap,1995,Single,Jungle / Drum & Bass
216,Sub Focus,Airplane / Flamenco,2006,Single,Jungle / Drum & Bass
217,Sonic,Piano Anthem / In the Vortex,2010,Single,Jungle / Drum & Bass
218,Deep Blue,The Helicopter Tune,1994,Single,Jungle / Drum & Bass
219,Top Cat,Gal U Look Nice / Bunn the Sensi,1992,Single,Jungle / Drum & Bass
220,Chase & Status,Take Me Away / Judgement (Informer),2008,Single,Jungle / Drum & Bass
221,Conquering Lion,Code Red,1994,Single,Jungle / Drum & Bass
222,Fierce / Break / Nico,Empire / Draw,2008,Single,Jungle / Drum & Bass
223,L.T.J. Bukem,Music (Happy Raw) / Enchanted,1993,Single,Jungle / Drum & Bass
224,Ed Rush,Skylab,1996,Single,Jungle / Drum & Bass
225,Bassline Terrorist / DJ Rowney,Death Rattle (VIP Mix) / Wanker Tactics,2009,Single,Jungle / Drum & Bass
226,CLS,With No Light to Guide My Way / Late Night,2007,Single,Jungle / Drum & Bass
227,Dom & Roland,Can't Punish Me EP,2000,EP,Jungle / Drum & Bass
228,Goldie Presents Metalheads,Inner City Life,1994,Single,Jungle / Drum & Bass
229,Spor,Judderman / The Whisper,2004,Single,Jungle / Drum & Bass
230,Dillinja,Twist 'Em Out / Kids Stuff,2002,Single,Jungle / Drum & Bass
231,Teebee,Warehouse / Bounce,2003,Single,Jungle / Drum & Bass
232,Roni Size & Reprazent,Brown Paper Bag,1997,Single,Jungle / Drum & Bass
233,Chase & Status,Iron Fist / Zulu King,2005,Single,Jungle / Drum & Bass
234,"Phantasy, Shodan & UK Apache",Gimme da Gal,2004,Single,Jungle / Drum & Bass
235,Roni Size,Timestretch / Phyzical,1995,Single,Jungle / Drum & Bass
236,Dom & Roland,U Do Voodoo / Can't Punish Me! Remix,2007,Single,Jungle / Drum & Bass
237,Danny Byrd,Sweet Harmony,2010,Single,Jungle / Drum & Bass
238,Tribe of Issachar,His Imperial Majesty,1997,Single,Jungle / Drum & Bass
239,Shy FX,Bambaata / Funksta,1998,Single,Jungle / Drum & Bass
240,High Contrast,Twilight's Last Gleaming / Made It Last Night,2004,Single,Jungle / Drum & Bass
241,Doc Scott / Rufige Kru,VIP Drumz / VIP Riders Ghost (The Origin),1996,Single,Jungle / Drum & Bass
242,Spor,Ultimate Technology / Cyberpunk,2005,Single,Jungle / Drum & Bass
243,Ed Rush & Optical,Gas Mask / Bacteria,1999,Single,Jungle / Drum & Bass
244,DJ Krust,Warhead (Steppa Mix) / Check Dis Out,1997,Single,Jungle / Drum & Bass
245,Origin Unknown,Valley of the Shadows,1996,Single,Jungle / Drum & Bass
246,Jungle Brothers,Jungle Brother,1998,Single,Jungle / Drum & Bass
247,J Majik,Arabian Nights / The Spell,1995,Single,Jungle / Drum & Bass
248,Nasty Habits,As Nasty as I Wanna Be,1992,EP,Jungle / Drum & Bass
249,Roni Size,Size of Things to Come,1994,Single,Jungle / Drum & Bass
250,M-Beat,Incredible,1994,Single,Jungle / Drum & Bass
251,ãƒ•ã‚©ãƒ¼ãƒ†ãƒƒã‚¯,ä¸ƒäººã®ä¾ / è¤‡åˆ,1995,Single,Jungle / Drum & Bass
252,D-Bridge & Vegas,Bellini / True Romance,2004,Single,Jungle / Drum & Bass
253,E-Z Rollers,Walk This Land,1999,Single,Jungle / Drum & Bass
254,High Contrast,If We Ever / Pink Flamingos,2007,Single,Jungle / Drum & Bass
255,Nasty Habits,Shadow Boxing / Prototyped,1996,Single,Jungle / Drum & Bass
256,Panacea,The Day After / Reality,1997,Single,Jungle / Drum & Bass
257,Renegade,Terrorist / Something I Feel,1994,Single,Jungle / Drum & Bass
258,Technical Itch,Soldiers (D-Bridge VIP) / The Green (Mason Remix),2005,Single,Jungle / Drum & Bass
259,John B,Up All Night / Take Control,2001,Single,Jungle / Drum & Bass
260,"Shy FX, Gunsmoke & Jr Dan",Gangsta Kid EP,1994,EP,Jungle / Drum & Bass
261,Uncle 22 / Lennie De Ice / A-Sides / Cool Hand Flex,We Are I.E.,1991,EP,Jungle / Drum & Bass
262,P-Funk,P-Funk Era / Xpandin Minds,1995,Single,Jungle / Drum & Bass
263,Usual Suspects,Killa Bees / Contortion,1999,Single,Jungle / Drum & Bass
264,Splash,Babylon / Heaven,1995,Single,Jungle / Drum & Bass
265,Barrington Levy & Beenie Man,Under Mi Sensi (Jungle Spliff) (X Project Remix) / Jungle Dub (X Project Remix),1994,Single,Jungle / Drum & Bass
266,Mozzart,Money,1987,Single,Italo-Disco
267,Bobby Davenport,Time (Has Come Today),1983,Single,Italo-Disco
268,Spagna,"Call Me / Girl, It's Not the End of the World",1987,Single,Italo-Disco
269,Barry Mason,Body! Get Your Body,1983,Single,Italo-Disco
270,Dharma,Plastic Doll,1982,Single,Italo-Disco
271,Kasso,Walkman / One More Round,1982,Single,Italo-Disco
272,Pineapples,Come On Closer,1983,Single,Italo-Disco
273,Clay Pedrini,New Dream,1984,Single,Italo-Disco
274,Vanessa,Upside Down (Dizzy Does It Make Me) / Sweet Telephone Operator,1981,Single,Italo-Disco
275,Trilogy,Not Love,1982,Single,Italo-Disco
276,Vera,Baby Won't You Dance With Me,1982,Single,Italo-Disco
277,Jock Hattle,Crazy Family (Yes-No) / Crazy Family (Yes-No) (Instrumental),1984,Single,Italo-Disco
278,Kasso,Brazilian Dancer / Kasso,1981,Single,Italo-Disco
279,Cube,Concert Boy / Building on Land,1983,Single,Italo-Disco
280,Kano,It's a War / Ahjia,1980,Single,Italo-Disco
281,Blush,Lift Off,1980,Single,Italo-Disco
282,Fun Fun,Happy Station,1983,Single,Italo-Disco
283,Los Angeles T.F.,Magical Body,1983,Single,Italo-Disco
284,Den Haan,Night Shift / Theme From Den Haan,2008,Single,Italo-Disco
285,Cyber People,Polaris,1984,Single,Italo-Disco
286,Klein + M.B.O.,Dirty Talk,1982,Single,Italo-Disco
287,Plastic Mode,N.Y. Life,1985,Single,Italo-Disco
288,Gino Soccio,Try It Out / Closer,1981,Single,Italo-Disco
289,Mr. Master,A Dog in the Night,1983,Single,Italo-Disco
290,Tantra,Hills of Katmandu / Hallelujah,1981,Single,Italo-Disco
291,Pino D'AngiÃ²,Ma quale idea / Lezione d'amore,1980,Single,Italo-Disco
292,Gino Soccio,Dancer / So Lonely,1979,Single,Italo-Disco
293,Bo Boss,Tequila,1982,Single,Italo-Disco
294,Kasso,Brazilian Dancer / Kasso,1981,Single,Italo-Disco
295,The Twins,Ballet Dancer / Heaven in Your Smile,1983,Single,Italo-Disco
296,Matia Bazar,Elettrochoc,1983,Single,Italo-Disco
297,Roni Griffith,Desire / I Want Your Lovin',1981,Single,Italo-Disco
298,Ken Laszlo,Hey Hey Guy,1984,Single,Italo-Disco
299,Alexander Robotnick,ProblÃ¨mes d'amour,1983,Single,Italo-Disco
300,Scotch,Penguins' Invasion,1983,Single,Italo-Disco
301,Mr. Flagio,Take a Chance,1983,Single,Italo-Disco
302,Phaeax,Talk About,1983,Single,Italo-Disco
303,Canton,Sleepwalking,1984,Single,Italo-Disco
304,Casco,Cybernetic Love,1983,Single,Italo-Disco
305,Jago,I'm Going to Go,1983,Single,Italo-Disco
306,Carrara,Disco King,1983,Single,Italo-Disco
307,International Music System,Dancing Therapy / 405 North,1984,Single,Italo-Disco
308,Kano,I'm Ready / Holly Dolly,1980,Single,Italo-Disco
309,Ryan Paris,Dolce vita,1983,Single,Italo-Disco
310,Scotch,Delirio Mind / Man in the Man,1984,Single,Italo-Disco
311,Tullio De Piscopo,Stop bajon / Stadera,1984,Single,Italo-Disco
312,X Ray Connection,Get Ready,1983,Single,Italo-Disco
313,Bagarre,Lemonsweet,1982,Single,Italo-Disco
314,Hot Cold,I Can Hear Your Voice,1986,Single,Italo-Disco
315,Digital Emotion,Get Up Action,1983,Single,Italo-Disco
316,David Lyme,Bambina,1986,Single,Italo-Disco
317,DelanuÃ,Flood / Black Breast,1980,Single,Italo-Disco
318,Digital Emotion,"Get Up, Do You Wanna Funk",1983,Single,Italo-Disco
319,Bob Salton,Starknight,1982,Single,Italo-Disco
320,James Brown,Funky Drummer (Parts 1 & 2),1970,Single,Funk
321,Ronnie Hudson & the Street People,West Coast Poplock,1982,Single,Funk
322,Midnight Star,Operator / Playmates,1984,Single,Funk
323,Brooklyn People,Boogie Man,1975,Single,Funk
324,The Gap Band,You Dropped a Bomb on Me / Lonely Like Me,1982,Single,Funk
325,Grace Jones,Pull Up to the Bumper / La vie en rose,1985,Single,Funk
326,The Honey Drippers,Impeach the President / Roy C's Theme,1973,Single,Funk
327,Parliament,Flash Light / Swing Down Sweet Chariot,1978,Single,Funk
328,The Bar-Kays,Holy Ghost / Monster,1978,Single,Funk
329,Cameo,Shake Your Pants,1980,Single,Funk
330,Ike & Tina Turner,Nutbush City Limits / Help Him,1973,Single,Funk
331,The Detroit Sex Machines,The Stretch,2002,Single,Funk
332,Slim,It's in the Mix,1982,Single,Funk
333,Zapp,More Bounce to the Ounce (Parts I & II),1980,Single,Funk
334,The Special AKA,Nelson Mandela / Break Down the Door!,1984,Single,Funk
335,Quincy Jones,Stuff Like That / There's a Train Leavin',1978,Single,Funk
336,"Jimmy ""Bo"" Horne",Spank / I Wanna Go Home With You,1978,Single,Funk
337,Capricorn,Pow Pow Pow / Maybe No,1981,Single,Funk
338,Unlimited Touch,I Hear Music in the Streets / In the Middle,1980,Single,Funk
339,James Brown,It's Too Funky in Here / Are We Really Dancing,1979,Single,Funk
340,The Jimmy Castor Bunch,Luther the Anthropoid (Ape Man) / Party Life,1972,Single,Funk
341,Slave,Just a Touch of Love / Shine,1979,Single,Funk
342,Hypertension,Got This Feelin' / I Know I Can,1982,Single,Funk
343,Rick James,Hard to Get / My Love,1982,Single,Funk
344,Bunny Sigler,Shake Your Booty / Your Love Is Good,1974,Single,Funk
345,Rufus Thomas,Do the Funky Penguin,1971,Single,Funk
346,Bill Withers,You Got the Stuff / Look to Each Other for Love,1978,Single,Funk
347,Funkadelic,One Nation Under a Groove (Parts 1 & 2),1978,Single,Funk
348,"Earth, Wind & Fire",Shining Star / Yearnin' Learnin',1975,Single,Funk
349,Herman Kelly & Life,Dance to the Drummer Beat / Easy Going,1978,Single,Funk
350,Ike & Tina Turner,Sexy Ida (Part 1 & 2),1974,Single,Funk
351,Zapp,I Can Make You Dance,1983,Single,Funk
352,Spinners,The Rubberband Man / Now That We're Together,1976,Single,Funk
353,Zapp,Doo Wa Ditty (Blow That Thing) / Come On,1982,Single,Funk
354,Dennis Coffey and The Detroit Guitar Band,Scorpio / Sad Angel,1971,Single,Funk
355,Rufus Thomas,The Breakdown,1971,Single,Funk
356,Various Artists,Bay Area Funk,2003,Compilation,Funk
357,John Ellison,Giving Up on Love / You've Got to Have Rhythm,1969,Single,Funk
358,Instant Funk,Bodyshine / Scream and Shout,1979,Single,Funk
359,Prince,"Let's Work / Ronnie, Talk to Russia",1982,Single,Funk
360,Skyy,Skyyzoo / High,1980,Single,Funk
361,The RAH Band,The Crunch,1977,Single,Funk
362,James Brown,Get Up I Feel Like Being a Sex Machine (Parts 1 & 2),1970,Single,Funk
363,B.T. Express,Do It ('Til You're Satisfied) / Do It ('Til You're Satisfied) (Part II),1974,Single,Funk
364,Various Artists,The Funky 16 Corners,2001,Compilation,Funk
365,Sexual Harrassment,I Need a Freak,1983,Single,Funk
366,Rick James,Super Freak,1981,Single,Funk
367,DÄM-FunK,It's My Life,2009,Single,Funk
368,Instant Funk,Witch Doctor / I Want to Love You,1979,Single,Funk
369,Various Artists,Saturday Night Fish Fry: New Orleans Funk and Soul,2001,Compilation,Funk
370,Isaac Hayes,Don't Let Go / You Can't Hold Your Woman,1979,Single,Funk
371,Parliament,Up for the Down Stroke / Presence of a Brain,1974,Single,Funk
372,Slave,Slide / Son of Slide,1977,Single,Funk
373,Eddie Bo,Hook and Sling,1969,Single,Funk
374,Willie Henderson,Funky Chicken (Part 1) / Funky Chicken (Part 2),1969,Single,Funk
375,One Way Featuring Al Hudson,Pop It / I'm in Love With Lovin' You,1980,Single,Funk
376,Dazz Band,Joystick,1983,Single,Funk
377,The Isley Brothers,The Real Deal,1982,Single,Funk
378,The Boris Gardiner Happening,Ghetto Funk / Spooky,2006,Single,Funk
379,Cashmere,Do It Anyway You Wanna,1983,Single,Funk
380,Mike Mareen,Love-Spy,1986,Single,Hi-NRG
381,Donna Summer,I Feel Love,1982,Single,Hi-NRG
382,Sunbelt,Spin It,1981,Single,Hi-NRG
383,The Flirts,Passion,1982,Single,Hi-NRG
384,Gloria Gaynor,I Am What I Am / More Than Enough,1983,Single,Hi-NRG
385,Jolo,Last Call,1984,Single,Hi-NRG
386,The New York Models,Love On Video,1985,Single,Hi-NRG
387,Stopp,I'm Hungry,1983,Single,Hi-NRG
388,Lisa,Love Is Like an Itching in My Heart,1985,Single,Hi-NRG
389,CafÃ© Society,Somebody To Love / Knight Rider,1984,Single,Hi-NRG
390,Modern Rocketry,(I'm Not Your) Steppin' Stone,1983,Single,Hi-NRG
391,Wow,Magic Man,1984,Single,Hi-NRG
392,The Flirts,Peligro = Danger,1984,Single,Hi-NRG
393,Divine,You Think You're a Man / Give It Up,1984,Single,Hi-NRG
394,English Evenings,Tear You Down,1984,Single,Hi-NRG
395,Purple Flash,We Can Make It,1984,Single,Hi-NRG
396,Patrick Cowley and Sylvester,Do Ya Wanna Funk,1982,Single,Hi-NRG
397,The I-Spies,Change of Life,1981,Single,Hi-NRG
398,The Flirts,Helpless (You Took My Love),1984,Single,Hi-NRG
399,Valery Allington,Stop,1982,Single,Hi-NRG
400,Lime,On the Grid,1983,Single,Hi-NRG
401,Rofo,Rofo's Theme,1987,Single,Hi-NRG
402,Eric,Boy or Girl?,1984,Single,Hi-NRG
403,Telex,L'amour toujours / Cloches et sifflets,1982,Single,Hi-NRG
404,Lisa,Rocket to Your Heart,1983,Single,Hi-NRG
405,Lime,"Babe, We're Gonna Love Tonite / Help Yourself",1982,Single,Hi-NRG
406,The Cage Featuring Nona Hendryx,Do What Ya Wanna Do / The Slammer,1982,Single,Hi-NRG
407,Aida,Number One,1983,Single,Hi-NRG
408,Gina Desire,Breathless,1987,Single,Hi-NRG
409,Miquel Brown,Black Leather,1984,Single,Hi-NRG
410,Oh Romeo,Try It / Lookin' Out,1983,Single,Hi-NRG
411,Lisa Smith,Sweet Fantasy,1986,Single,Hi-NRG
412,English Boy on the Loveranch,The Man in Your Life,1987,Single,Hi-NRG
413,Doris D & The Pins,Shine Up / Just Me and You,1980,Single,Hi-NRG
414,Evelyn Thomas,High Energy,1984,Single,Hi-NRG
415,Lime,Guilty,1983,Single,Hi-NRG
416,Laura Pallas,Emergency!,1984,Single,Hi-NRG
417,Carol Hitchcock,Get Ready,1987,Single,Hi-NRG
418,Miquel Brown,"He's a Saint, He's a Sinner / Maybe He Forgot",1983,Single,Hi-NRG
419,Divine,I'm So Beautiful / Show Me Around,1984,Single,Hi-NRG
420,Bo Boss,Tequila,1982,Single,Hi-NRG
421,Bobby Davenport,Gimmie a Break / Ride the Night,1983,Single,Hi-NRG
422,Paul Parker,Right on Target / Pushin' Too Hard,1982,Single,Hi-NRG
423,Dead or Alive,You Spin Me Round (Like a Record) / Misty Circles,1984,Single,Hi-NRG
